NFORM;nnper;nvj;IDPERV;origen;proposito;VF5;VF6;tiempoviaje;modoprincipal;etapas;VF9;INSE;INSE_RecF;EstratoGeografico;cuadras;codsegorigen;codsegproposito;wcal0
1035;2;3;10350203;11;2;13;13,15;15;0;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;7;106203;101205;119,7925354
1035;2;4;10350204;2;11;16,45;17;15;0;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;7;101205;106203;119,7925354
1035;2;5;10350205;11;2;17;17,1;10;0;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;7;106203;101205;119,7925354
1035;2;6;10350206;2;1;19;19,4;40;13;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;101205;116018;119,7925354
1035;3;1;10350301;1;5;7;7,3;30;13;2;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;5;116018;120039;119,7925354
1035;3;2;10350302;5;16;11,15;12,3;75;13;2;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;5;120039;101205;119,7925354
1035;3;3;10350303;16;1;19;19,4;40;13;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;101205;116018;119,7925354
1035;4;1;10350401;1;16;8,3;9,3;60;13;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;116018;101205;119,7925354
1035;4;2;10350402;16;5;12,45;13;15;0;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;7;101205;106203;119,7925354
1035;4;3;10350403;5;16;17;17,1;10;0;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;7;106203;101205;119,7925354
1035;4;4;10350404;16;1;19;19,4;40;13;1;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo; ;101205;116018;119,7925354
1036;2;1;10360201;1;15;17,05;18;55;10;1;5;11;B-;Zona III - Cuenca Cerro Norte Bajo; ;116011;114010;136,8806657
1036;2;2;10360202;15;1;19,5;20;10;10;1;5;11;B-;Zona III - Cuenca Cerro Norte Bajo; ;114010;116015;136,8806657
1036;3;1;10360301;1;2;11,1;13;110;13;3;1;11;B-;Zona III - Cuenca Cerro Norte Bajo;6;116011;118111;136,8806657
1036;3;2;10360302;2;1;21;23;120;13;2;1;11;B-;Zona III - Cuenca Cerro Norte Bajo; ;118111;116011;136,8806657
1037;1;1;10370101;1;4;9;9,3;30;1;1;1;32;M-;Zona II - Cuenca Noreste      NoBajo;20;111092;117102;91,42437081
1037;1;2;10370102;4;1;13;14;60;1;1;1;32;M-;Zona II - Cuenca Noreste      NoBajo;20;117102;111092;91,42437081
1038;5;1;10380501;1;2;8,45;9,15;30;13;1;1;15;B-;Zona III - Cuenca Cerro Norte NoBajo; ;113037;113027;92,50383022
1038;5;2;10380502;2;1;17,3;18;30;13;1;1;15;B-;Zona III - Cuenca Cerro Norte NoBajo; ;113027;113037;92,50383022
1039;1;1;10390101;1;6;20,3;20,35;5;13;1;3;56;A-;Montevideo Medio Alto; ;121016;121115;558,7278729
1039;1;2;10390102;6;1;21,5;22;10;13;1;3;56;A-;Montevideo Medio Alto; ;121115;121016;558,7278729
1039;2;1;10390201;1;6;19;19,3;30;0;1;3;56;A-;Montevideo Medio Alto;5;121016;121225;558,7278729
1039;2;2;10390202;6;1;21,5;22;10;0;1;3;56;A-;Montevideo Medio Alto;5;121225;121016;558,7278729
1040;1;1;10400101;1;4;8,3;9,3;60;13;1;5;10;B-;Zona II - Cuenca Noreste      NoBajo; ;111092;115104;129,1773333
1040;1;2;10400102;4;1;11,3;12,3;60;13;1;5;10;B-;Zona II - Cuenca Noreste      NoBajo; ;115104;111092;129,1773333
1040;3;1;10400301;1;14;15;15,15;15;13;1;4;10;B-;Zona II - Cuenca Noreste      NoBajo; ;111092;117001;129,1773333
1040;3;2;10400302;14;1;18,5;19;10;13;1;4;10;B-;Zona II - Cuenca Noreste      NoBajo; ;117001;111092;129,1773333
1043;1;1;10430101;1;8;7;8,15;75;13;2;3;48;M+;Montevideo Medio; ;121130;123205;697,2748995
1043;1;2;10430102;8;14;9,3;9,5;20;13;1;3;48;M+;Montevideo Medio; ;123205;107206;697,2748995
1043;1;3;10430103;14;2;10;10,4;40;13;1;3;48;M+;Montevideo Medio; ;107206;121225;697,2748995
1043;1;4;10430104;2;1;21;21,1;10;0;1;1;48;M+;Montevideo Medio;6;121225;121130;697,2748995
1043;2;1;10430201;1;8;7;8,15;75;13;2;3;48;M+;Montevideo Medio; ;121130;123205;697,2748995
1043;2;2;10430202;8;2;9,3;9,5;20;13;1;3;48;M+;Montevideo Medio; ;123205;107206;697,2748995
1043;2;3;10430203;2;1;14;14,45;45;13;2;1;48;M+;Montevideo Medio;5;107206;121130;697,2748995
1044;2;1;10440201;1;2;6,4;7;20;0;1;1;30;M-;Montevideo Bajo;5;121222;121020;438,6951891
1044;2;2;10440202;2;1;15;15,2;20;0;1;1;30;M-;Montevideo Bajo;5;121020;121222;438,6951891
1044;2;3;10440203;1;6;18;18,1;10;0;1;2;30;M-;Montevideo Bajo;5;121222;121020;438,6951891
1044;2;4;10440204;6;1;19;19,1;10;0;1;2;30;M-;Montevideo Bajo;5;121020;121222;438,6951891
1044;3;1;10440301;1;5;7,2;7,3;10;0;1;1;30;M-;Montevideo Bajo;4;121222;121225;438,6951891
1044;3;2;10440302;5;1;12,3;12,35;5;0;1;1;30;M-;Montevideo Bajo;4;121225;121222;438,6951891
1044;3;3;10440303;1;5;13,15;13,25;10;0;1;3;30;M-;Montevideo Bajo;6;121222;121035;438,6951891
1044;3;4;10440304;5;1;14,3;14,4;10;0;1;4;30;M-;Montevideo Bajo;6;121035;121222;438,6951891
1044;3;5;10440305;1;5;16,2;16,25;5;0;1;2;30;M-;Montevideo Bajo;4;121222;121225;438,6951891
1044;3;6;10440306;5;1;17;17,1;10;0;1;2;30;M-;Montevideo Bajo;4;121225;121222;438,6951891
1044;4;1;10440401;1;5;8,2;8,3;10;0;1;1;30;M-;Montevideo Bajo;4;121222;121122;438,6951891
1044;4;2;10440402;5;1;16;16,1;10;0;1;1;30;M-;Montevideo Bajo;4;121122;121222;438,6951891
1045;1;1;10450101;1;6;11;11,1;10;0;1;2;62;A+;Montevideo Medio Alto;1;121125;121130;522,2473522
1045;1;2;10450102;6;1;12;12,05;5;0;1;2;62;A+;Montevideo Medio Alto;1;121130;121125;522,2473522
1046;2;1;10460201;1;5;11;12;60;13;1;4;53;A-;Zona III - Cuenca Cerro Norte Bajo; ;113236;101104;191,2008522
1046;2;2;10460202;5;13;18;19;60;13;1;2;53;A-;Zona III - Cuenca Cerro Norte Bajo; ;101104;113037;191,2008522
1048;1;1;10480101;1;8;10,3;11,3;60;13;2;4;47;M+;Montevideo Medio Bajo; ;121129;110113;603,6410271
1048;1;2;10480102;8;1;16;17;60;13;2;4;47;M+;Montevideo Medio Bajo; ;110113;121129;603,6410271
1050;2;1;10500201;1;2;22;23;60;2;1;1;21;B-;Zona III - Cuenca Cerro Norte Bajo; ;116213;109033;164,3610816
1050;2;2;10500202;2;1;7;8;60;2;1;1;21;B-;Zona III - Cuenca Cerro Norte Bajo; ;109033;116213;164,3610816
1050;3;1;10500301;1;2;7,3;7,55;25;1;1;1;21;B-;Zona III - Cuenca Cerro Norte Bajo;12;116213;120024;164,3610816
1050;3;2;10500302;2;1;17;17,3;30;1;1;1;21;B-;Zona III - Cuenca Cerro Norte Bajo;12;120024;116213;164,3610816
1052;1;1;10520101;1;2;7,3;8,3;60;8;1;3;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337526;108010;337,2987977
1052;1;2;10520102;2;4;13;14;60;8;1;3;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;108010;337125;337,2987977
1052;1;3;10520103;4;1;17;17,05;5;8;1;2;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;337526;337,2987977
1052;1;4;10520104;1;6;18;18,1;10;8;1;3;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337526;337425;337,2987977
1052;1;5;10520105;6;1;19;19,1;10;8;1;3;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337425;337526;337,2987977
1052;2;1;10520201;1;6;18;18,1;10;7;1;3;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337526;337425;337,2987977
1052;2;2;10520202;6;1;19;19,1;10;7;1;3;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337425;337526;337,2987977
1053;1;1;10530101;1;6;10;10,1;10;8;1;3;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;337425;361,3165711
1053;1;2;10530102;6;1;12,3;12,4;10;8;1;3;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337425;337125;361,3165711
1053;2;1;10530201;1;6;10;10,1;10;7;1;3;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;337425;361,3165711
1053;2;2;10530202;6;1;12,3;12,4;10;7;1;3;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337425;337125;361,3165711
1053;3;1;10530301;1;15;15;15,15;15;8;1;1;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;110148;361,3165711
1053;3;2;10530302;15;13;16,3;16,4;10;8;1;2;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;110148;110058;361,3165711
1053;3;3;10530303;13;15;17,3;18;30;15;1;3;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;110058;110250;361,3165711
