NFORM;C1;C2;C3;C4;C5;D1A;D1B;D1C;D1D;D1E;D1ECAN;D1F;D1FCAN;D1G;D1GCAN;D2AT;D2AP;D2BT;D2BP;D2CT;D2CP;D2DT;D2DP;D2ET;D2EP;D2FT;D2FP;D3;D4;D5;d5a;D7;D10;G2;G3A;G3B;G4A;G4B;G5A;G5B;G6A;G6B;G6C;G7A;G7N;G7B;G7O;G7C;G7P;G7D;G7Q;G7E;G7R;G7F;G7S;G7G;G7T;G7H;G7U;G7I;G7V;G7J;G7W;G7K;G7X;G7L;G7Y;G7M;G7Z;G8A_X;G8B_X;G9A_X;G9B_X;G10A_X;G10B_X;G10C_X;G11;G12A_X;G12B_X;INSE;INSE_RecF;EstratoGeografico;wcal0;codseghogar;codloc;codseg
1722;1;2;1;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;1;2;2;1;2;3; ;456; ;1;2;6;3; ;2; ;3; ;4; ;2; ;4; ;2; ;3; ;4; ;2; ;4; ;2; ;2; ;11;99;3;99;1;99; ;4;23;99;9;B-;Zona I - Casavalle            Bajo;361,6558442;117203;1020;117203
1723;1;2;1;1;1;2;1;1;1;1;3;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;1;6;6;1;5;1;1;2;2; ;456; ;2;13;5;3; ;1; ;4; ;2; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;3; ;1; ;1;99;7;99;1;99; ;4;1;99;25;B+;Zona I - Casavalle            Bajo;302,2253833;117303;1020;117303
1724;1;2;1;1;1;2;1;1;1;2; ;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;2; ;4;4;1;1;6;1;2;3; ;330; ;1;13;5;1; ;1; ;1; ;3; ;1; ;1; ;1; ;1; ;1; ;1; ;4; ;1; ;1; ;12;99;6;99;2;4;22;4;9;25;25;B+;Zona I - Casavalle            Bajo;276,8327183;117043;1020;117043
1725;1;1;2;1;1;2;2;2;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;1;5;1;2;3; ;330; ;1;3;4;2; ;3; ;2; ;1; ;1; ;4; ;4; ;3; ;2; ;4; ;3; ;4; ;3; ;9;99;6;99;99;99; ;1;13;99;37;M;Zona I - Casavalle            Bajo;240,9474014;117043;1020;117043
1726;4;1;2;1;1;1;1;1;1;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;2; ;2;2;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;99; ;4;1;25;54;A-;Montevideo Medio;729,650257;112015;1020;112015
1727;1;1;2;1;1;2;1;1;1;1;2;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;2; ;4;4;1;2;7;1;2;1; ;169; ;1;4;7;3; ;3; ;2; ;2; ;2; ;3; ;4; ;4; ;3; ;4; ;4; ;3; ;2; ;11;99;9;99;1;4;5;4;3;4;47;M+;Montevideo Medio;1610,333701;112106;1020;112106
1728;1;2;1;1;1;2;1;1;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;1;2;1;2;1; ;2; ;1A;99; ; ; ;2; ;4; ;4; ;1; ;2; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4;1;99;1;99;1;2;5;1;14;25;32;M-;Canelones Capital, Santa Lucía y Otras;117,8875812;301017;3723;301017
1733;1;2;2;1;1;2;1;1;1;2; ;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;2;6;6;1;2;1;1;2;1; ;128; ;9;1;8;4; ;3; ;4; ;3; ;4; ;3; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;15;99;13;99;11;99; ;4;1;99;32;M-;Montevideo Medio Bajo;959,5375;116042;1020;116042
1734;1;1;1;1;1;2;2;2;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;1;1;1;2;3; ;409; ;5;2;1;5; ;5; ;4; ;2; ;4; ;3; ;4; ;3; ;4; ;4; ;5; ;3; ;4; ;15;99;13;99;99; ; ;4;12;3;16;B-;Montevideo Medio Bajo;651,4480994;121045;1020;121045
1735;1;1;2;1;1;2;1;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;1;1;4;1;2;3; ;409; ;9;1;4;5; ;5; ;5; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;5; ;4; ;4; ;15;99;13;99;99; ; ;4;1;3;32;M-;Montevideo Medio Bajo;607,850574;121045;1020;121045
1736;1;1;1;1;2;2;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;5; ;4;1; ;40;M;Montevideo Medio;520,0652188;120020;1020;120020
1737;3;2;2;1;1;1;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2;1; ;524; ;2;7;8;4; ;4; ;3; ;2; ;3; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;3; ; ;7; ;7;99; ; ;4;1;99;47;M+;Zona III - Cuenca Cerro Norte Bajo;116,7501666;120024;1020;120024
1738;1;1;1;1;1;2;2;2;2;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;1;1;1;2;2; ;199; ;6;8;11;3; ;3; ;3; ;2; ;2; ;3; ;4; ;3; ;2; ;1; ;4; ;4; ;2; ;4;17;4;15;5;99; ;3;9;25;18;B-;Montevideo Medio Alto;981,59302;117012;1020;117012
1739;1;2;1;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;1;1;1;1;2;2; ;137; ;4;7;3;3; ;4; ;4; ;2; ;3; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;12; ;12; ;11; ; ;4;1; ;7;B-;Zona III - Cuenca Cerro Norte NoBajo;111,7628437;113037;1020;113037
1740;1;1;1;1;1;1;1;1;1;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;1;6;4;4;1;2;2;1;2;2; ;128; ;2;1;4;3; ;3; ;2; ;1; ;3; ;3; ;3; ;3; ;3; ;4; ;2; ;3; ;2; ;4; ;4; ;1;3;5;4;1; ;39;M;Montevideo Medio Bajo;733,5587225;116042;1020;116042
1741;1;1;1;1;1;2;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;3;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ; ;4;1; ;36;M-;Zona III - Cuenca Cerro Norte NoBajo;80,51272857;116019;1020;116019
1742;1;1;2;1;1;2;1;1;1;1;1;1;1;2; ;2;1; ; ; ; ; ; ; ; ; ; ;2; ;4;4;1;2;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;14; ; ;4;1; ;29;B+;Zona III - Cuenca Cerro Norte Bajo;150,1714859;116213;1020;116213
1743;1;1;2;1;1;1;2;2;1;1;1;1;2;2; ;2;1;2;1; ; ; ; ; ; ; ; ;1; ;2;2;1;2;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;5;3;2; ;49;M+;Las Piedras, La Paz, Progreso y Otras;316,743209;305015;3827;305015
1744;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1; ; ; ; ; ; ; ; ;1;1;5;5;1;2;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;5;4;2; ;28;B+;Las Piedras, La Paz, Progreso y Otras;597,2484475;305010;3321;305010
1745;1;2;2;1;1;2;2;2;1;1;1;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;1;1;2;2;1;2;5;2;1; ;3; ;88888;5;10;4; ;3; ;3; ;3; ;2; ;3; ;3; ;3; ;3; ;4; ;3; ;3; ;3; ;4;7;3;3;7;5;99; ;1;14;99;44;M+;Las Piedras, La Paz, Progreso y Otras;234,0081461;304001;3221;304001
1746;1;1;1;1;1;2;2;1;1;1;1;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;2; ;3;3;1;1;5;2;1; ;3; ;99999;1;2;3; ;4; ;3; ;4; ;1; ;2; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;1;7;6;7;6;3;5;99;1;4;6;24;B+;Ciudad del Plata, Libertad;90,61877847;1606220;16950;1606220
1747;1;1;1;1;1;2;2;2;2;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;2; ;2;2;1;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;10;4;11;1;32;M-;Ciudad del Plata, Libertad;81,82812734;1606120;16950;1606120
1748;1;1;1;1;1;2;2;2;1;1;2;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;1;2;4;4;1;2;2;2;1; ;3; ;99999;1;4;9; ;2; ;2; ;4; ;2; ;4; ;4; ;4; ;3; ;4; ;4; ;2; ;4; ;4;6;7;6;7;1;3;5;4;1;99;25;B+;Ciudad del Plata, Libertad;137,0909983;1606120;16950;1606120
1749;1;1;2;2;1;2;2;9;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;2;1;2;1; ;1; ;99999;1;4;2; ;2; ;4; ;4; ;1; ;1; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4;7;6;7;6;3;99; ;4;1;99;29;B+;Ciudad del Plata, Libertad;122,2996302;1606120;16950;1606120
1750;1;1;2;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2;1; ;3; ;99999;1;10;4; ;2; ;4; ;3; ;1; ;1; ;4; ;4; ;4; ;4; ;4; ;3; ;4; ;2;7;6;7;6;3;5;99;4;1;9;36;M-;Ciudad del Plata, Libertad;92,72010105;1606120;16950;1606120
1752;1;1;2;1;1;1;1;1;1;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;1;1;3;3;1;2;4;2;1; ;2; ;4A;4;1;11; ;4; ;3; ;4; ;1; ;2; ;4; ;3; ;3; ;4; ;4; ;4; ;2; ;2;6;5;6;5;1;5;99;4;1; ;52;A-;Las Piedras, La Paz, Progreso y Otras;250,6709824;304001;3221;304001
1753;1;2;2;1;1;1;1;1;1;1;2;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;1;99;4;4;1;99;4;2;1; ;2; ;G;1;2;7; ;1; ;1; ;4; ;2; ;3; ;4; ;4; ;1; ;2; ;4; ;2; ;2; ;4;1;4;3;5;1;3;5;4;2;99; ; ;Las Piedras, La Paz, Progreso y Otras;339,4889053;305001;3321;305001
1754;1;1;2;1;1;2;2;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;1;1;1;2;1; ;G; ;2;5;10;3; ;3; ;4; ;9; ;3; ;2; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;6;5;6;5;1;2;4;4;1; ;29;B+;Las Piedras, La Paz, Progreso y Otras;295,4815819;305001;3321;305001
1755;1;1;2;1;1;1;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;2;1; ;2; ;99999;1;2;4; ;3; ;4; ;4; ;1; ;3; ;4; ;4; ;4; ;4; ;4; ;4; ;1; ;1;6;5;6;5;1;5;11;4;1;99;53;A-;Ciudad del Plata, Libertad;77,01064324;1606019;16829;1606019
1756;1;1;2;1;1;2;1;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;6;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;11;99;4;9;99;50;M+;Ciudad del Plata, Libertad;70,59308964;1606221;16722;1606221
1757;1;1;1;1;1;2;2;2;2;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;1;1;2;1; ;3; ;99999;1;2;4; ;3; ;4; ;2; ;1; ;1; ;4; ;4; ;4; ;4; ;2; ;4; ;4; ;2;7;99;6;5;1;5;99;4;1;99;22;B+;Ciudad del Plata, Libertad;79,1308781;1606221;16722;1606221
1758;1;1;1;1;1;2;2;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;1;2;1;2;1; ;2; ;99999;3;8;6; ;4; ;4; ;4; ;3; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4;7;6;6;7;3;99; ;4;11;99;32;M-;Ciudad del Plata, Libertad;111,8821414;1606211;16824;1606211
1759;1;1;2;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;6;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;20;99;4;9;1;36;M-;Ciudad del Plata, Libertad;65,90055969;1606112;16521;1606112
1760;1;1;1;1;1;2;1;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;2;1; ;1; ;227;1;4;2; ;4; ;4; ;4; ;1; ;2; ;4; ;4; ;4; ;4; ;4; ;4; ;2; ;3;1;8;6;5;1;7;99;4;1;99;46;M+;Ciudad del Plata, Libertad;84,59508218;1606315;16521;1606315
1764;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;9;9; ; ; ; ; ; ;2; ;2;2;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;11;99;4;1;10;47;M+;Ciudad del Plata, Libertad;77,6435801;1606217;16521;1606217
1765;3;1;2;1;2;2;1;1;1;1;1;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;1;1;1;2;1;2;1;2;3; ;181; ;7;8;5;4; ;4; ;4; ;3; ;2; ;2; ;2; ;1; ;2; ;1; ;1; ;2; ;1; ;12;99;12;99;22;99; ;4;11;99;67;A+;Montevideo Alto;457,942436;118111;1020;118111
1766;3;1;2;1;3;1;1;1;1;2; ;2; ;1;2;1;1;1;1;9;9; ; ; ; ; ; ;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;25;99;4;1;3;82;A+;Montevideo Alto;446,5700688;118107;1020;118107
1769;4;1;2;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;99;99;4;9;99;43;M;Montevideo Alto;676,3814624;124111;1020;124111
1774;1;1;1;1;2;2;2;2;2;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;1;5;1;1;3;3;142;751;2;4;8;3;2;4;4;4;4;2;2;2;2;4;3;4;4;3;3;3;3;4;4;4;4;3;3;4;4;12; ;4; ;15; ; ;1;16; ;26;B+;Toledo, Suarez y Otras;75,08758914;316103;3524;316103
1775;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1; ; ; ; ; ; ; ; ;1;1;5;4;1;2;2;2;1; ;3; ;6R6;4;6;5; ;4; ;4; ;3; ;2; ;2; ;4; ;3; ;4; ;4; ;4; ;4; ;4; ;4;1;99;1;99;5;99; ;4;25;99;34;M-;Toledo, Suarez y Otras;123,8025019;306009;3839;306009
1776;1;1;2;1;1;2;2;1;1;1;1;2; ;1;1;1;2;9;9; ; ; ; ; ; ; ; ;1;1;2;2;1;2;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;99; ;3;19;99;50;M+;Toledo, Suarez y Otras;44,14845625;316002;3524;316002
1777;1;1;2;1;1;1;1;1;1;2; ;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;1;4;4;1;3;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;5;25;4;1;99;48;M+;Toledo, Suarez y Otras;46,17600185;316204;3524;316204
1778;1;1;2;1;1;1;2;2;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;99; ;4;19;99;50;M+;Toledo, Suarez y Otras;41,16171285;316002;3524;316002
1779;1;2;2;1;1;2;1;1;1;2; ;1;1;1;1;2;2;1;1;9;9; ; ; ; ; ; ;2; ;2;2;1;2;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;10;99;4;1;99;48;M+;Montevideo Medio Alto;682,8120709;114222;1020;114222
1780;4;1;2;1;2;1;1;1;1;1;1;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;2; ;4;4;2;2;1;1;2;1; ;116; ;7;2;4;4; ;4; ;4; ;1; ;1; ;3; ;2; ;4; ;3; ;4; ;4; ;1; ;1; ;9;6;9;6;5;99; ;4;1;99;62;A+;Montevideo Medio Alto;701,9700843;118223;1020;118223
1781;1;2;1;1;1;1;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;4;1;2;1; ;156; ;2;5;6;4; ;4; ;4; ;3; ;3; ;3; ;3; ;4; ;4; ;4; ;4; ;4; ;4; ;11;99;6;99;6;9;99;4;1;99;40;M;Zona I - Casavalle            NoBajo;78,8500096;117010;1020;117010
1782;4;1;2;1;1;1;1;1;1;1;1;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;9;99;2;2;1;2;4;1;2;2; ;300; ;1;3;5;3; ;3; ;2; ;2; ;2; ;2; ;2; ;2; ;4; ;4; ;4; ;4; ;4; ;12;5;5;99;1;6;99;4;10;3;49;M+;Zona II - Cuenca Noreste      Bajo;220,720078;117141;1020;117141
1783;1;1;2;1;1;1;1;1;1;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;1;1;4;4;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ;4;1; ;41;M;Zona I - Casavalle            Bajo;332,1884506;114219;1020;114219
1784;4;1;2;1;1;1;1;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;1;2;4;1;2;1; ;300; ;3;5;8;4; ;4; ;2; ;2; ;4; ;2; ;4; ;3; ;1; ;4; ;9; ;3; ;2; ;6;12;6;11;99;99; ;4;2;25;28;B+;Zona II - Cuenca Noreste      Bajo;264,3630355;117141;1020;117141
1785;1;1;1;1;1;1;1;2;1;2; ;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;1;2;2;1;2;1;1;2;2; ;300; ;12;13;5;2; ;2; ;1; ;4; ;3; ;2; ;2; ;2; ;3; ;3; ;2; ;4; ;2; ;12;99;7;6;1;4;99;4;1;9;38;M;Zona II - Cuenca Noreste      Bajo;182,6855147;117241;1020;117241
1786;1;1;2;1;1;2;2;2;1;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;1;2;4;4;1;1;1;1;2;2; ;102; ;1;2;5;2; ;3; ;4; ;2; ;3; ;3; ;3; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;4; ;11; ; ;4;9; ;25;B+;Zona II - Cuenca Noreste      NoBajo;113,1584646;117001;1020;117001
1787;1;1;2;1;1;2;1;2;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;2;1; ;169; ;8;2;3;4; ;4; ;2; ;2; ;1; ;4; ;3; ;4; ;4; ;4; ;4; ;5; ;1; ;4;11;4;11;5;6;99;2;4;10;35;M-;Zona II - Cuenca Noreste      Bajo;220,720078;111078;1020;111078
1788;1;1;2;1;1;1;2;2;1;2; ;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;9; ;2;2;1;2;1;1;2;2; ;306; ;1;2;6;4; ;2; ;3; ;2; ;3; ;3; ;3; ;4; ;2; ;4; ;4; ;2; ;4; ;3;99;6;2;2;99;99;4;1;25;45;M+;Zona I - Casavalle            NoBajo;64,16490346;117211;1020;117211
1789;1;1;3;2;9;2;2;2;2;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;1;1;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99;99; ;4;1;99;6;B-;Zona I - Casavalle            Bajo;324,3487636;117010;1020;117010
1790;1;1;2;1;2;2;1;1;1;1;1;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;9;99;2;2;1;2;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;20;4;9;99;49;M+;Zona I - Casavalle            Bajo;265,0421415;117010;1020;117010
1791;4;1;2;1;1;2;2;2;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;5;1;2;3; ;169; ;1;3;4;3; ;3; ;3; ;2; ;2; ;2; ;4; ;3; ;4; ;4; ;4; ;3; ;5; ;12;99;12;99;99;99; ;1;4;99;43;M;Zona I - Casavalle            NoBajo;72,18786428;117213;1020;117213
1792;1;1;2;1;1;2;2;2;1;1;1;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;9;99;1;1;1;1;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99;99; ;4;17;15;43;M;Zona I - Casavalle            Bajo;224,956467;117010;1020;117010
1793;1;1;2;1;1;2;1;1;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;2;1; ;149; ;8;2;1;3; ;2; ;3; ;2; ;1; ;3; ;4; ;3; ;3; ;3; ;4; ;4; ;4; ;4;99;4;99;4;6;7;4;10;6;55;A-;Montevideo Medio Alto;512,1090531;108002;1020;108002
1794;3;2;2;1;1;2;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;1;1;3;109;4A;4;6;1;3;2;3;2;4;3;2;1;2;2;3;4;3;4;4;4;3;3;4;4;4;3;4;2;4;2;9;8;9;8;5;99; ;4;1;99;54;A-;Montevideo Medio Alto;558,6644216;105204;1020;105204
1795;4;2;2;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;1;1;1;2;2; ;546; ;1;6;4;3; ;4; ;3; ;2; ;2; ;3; ;2; ;2; ;2; ;3; ;4; ;4; ;4; ;1;99;1;99;1;5;99;4;10;99;38;M;Montevideo Medio;488,664851;119104;1020;119104
1796;3;1;2;1;1;2;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;56;A-;Montevideo Medio Alto;558,6644216;105106;1020;105106
1797;3;1;2;1;1;1;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;4;1;1;2;3;103;714;4;1;13;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;3;3;2;12;99;2;99;5;99; ;4;12;1;50;M+;Montevideo Medio Alto;509,2780613;107203;1020;107203
1799;1;2;2;1;1;1;1;1;1;1;1;1;2;2; ;2;1;2;1; ; ; ; ; ; ; ; ;2; ;4;4;1;4;6;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;5;23;4;9; ;51;A-;Montevideo Medio;488,4287265;119104;1020;119104
1800;1;1;2;1;1;2;1;1;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;1;1;1;2;2; ;79; ;2;1;8;2; ;2; ;4; ;3; ;2; ;3; ;3; ;2; ;2; ;2; ;4; ;4; ;4; ;2;99;3;99;4;6;9;4;9;99;42;M;Montevideo Medio;387,0006215;119204;1020;119204
1801;1;1;2;1;1;1;1;1;1;1;2;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;1;2;2;1;2;2;1;2;3; ;149; ;1;2;9;2; ;3; ;1; ;3; ;2; ;3; ;3; ;3; ;3; ;4; ;1; ;4; ;2; ;9;2;9;1;2;3;6;3;7;3;57;A-;Montevideo Medio;522,9561746;121141;1020;121141
1802;1;1;2;1;1;2;2;1;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;2;1;1;2;1; ;137; ;6;4;1;4; ;3; ;3; ;2; ;1; ;1; ;3; ;3; ;2; ;3; ;5; ;4; ;4; ;4;99;4;99;3;5;7;4;1;25;32;M-;Montevideo Medio;436,1858147;116007;1020;116007
1803;1;1;2;1;1;1;1;1;1;1;3;2; ;1;1;1;1;9;9; ; ; ; ; ; ; ; ;1;3;3;3;1;2;1;1;2;1; ;306; ;2;1;4;2; ;2; ;3; ;2; ;1; ;3; ;3; ;2; ;1; ;4; ;4; ;3; ;1; ;4;9;11;11;1;6;7;2;7;25;55;A-;Montevideo Medio;560,1939086;120138;1020;120138
1804;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1; ; ; ; ; ; ; ; ;1;2;2;2;1;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;5;4;1;7;54;A-;Montevideo Medio Bajo;581,1604166;120232;1020;120232
1805;1;2;1;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;1;2;6;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;99; ;4;8;25;30;M-;Montevideo Medio;573,0939244;121141;1020;121141
