NFORM;C1;C2;C3;C4;C5;D1A;D1B;D1C;D1D;D1E;D1ECAN;D1F;D1FCAN;D1G;D1GCAN;D2AT;D2AP;D2BT;D2BP;D2CT;D2CP;D2DT;D2DP;D2ET;D2EP;D2FT;D2FP;D3;D4;D5;d5a;D7;D10;G2;G3A;G3B;G4A;G4B;G5A;G5B;G6A;G6B;G6C;G7A;G7N;G7B;G7O;G7C;G7P;G7D;G7Q;G7E;G7R;G7F;G7S;G7G;G7T;G7H;G7U;G7I;G7V;G7J;G7W;G7K;G7X;G7L;G7Y;G7M;G7Z;G8A_X;G8B_X;G9A_X;G9B_X;G10A_X;G10B_X;G10C_X;G11;G12A_X;G12B_X;INSE;INSE_RecF;EstratoGeografico;wcal0;codseghogar;codloc;codseg
2260;1;2;1;1;1;2;2;2;2;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;5;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ; ;1;13; ;24;B+;Canelones Capital, Santa Lucía y Otras;84,82039613;301214;3320;301214
2261;1;1;2;1;1;1;1;1;1;1;4;1;1;1;1;2;1;1;1; ; ; ; ; ; ; ; ;1;1;5;5;2;3;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;11; ;3;11; ;50;M+;Canelones Capital, Santa Lucía y Otras;109,1013854;301010;3320;301010
2264;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1; ; ; ; ; ; ; ; ;1;2;2;2;1;1;3;2;1; ;3; ;6R6;3;1;4; ;2; ;2; ;2; ;2; ;2; ;4; ;4; ;4; ;3; ;4; ;4; ;4; ;4;7;99;7;99;11;99; ;4;17;99;50;M+;Toledo, Suarez y Otras;68,26144468;306124;3900;306124
2265;1;1;2;1;1;2;2;2;1;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;1;1;2;2;1;2;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;16;99; ;4;1;99;44;M+;Toledo, Suarez y Otras;68,35555201;316204;3524;316204
2267;1;1;2;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;6;1;1;4;2;1; ;3; ;99999;2;4;8; ;1; ;3; ;2; ;2; ;3; ;3; ;2; ;3; ;3; ;4; ;2; ;4; ;2;13; ;12; ;1;6; ;4;1;25;12;B-;Canelones Capital, Santa Lucía y Otras;180,1222656;301201;3320;301201
2268;1;1;2;1;1;1;2;2;1;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;1;2;2;2;1;2;4;1;2;1; ;192; ;1;8;6;4; ;3; ;4; ;2; ;2; ;4; ;2; ;4; ;2; ;4; ;1; ;5; ;1; ;3; ;3;5;5; ; ;4;1; ;49;M+;Zona II - Cuenca Noreste      Bajo;242,4853635;117341;1020;117341
2269;1;1;2;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ;4;1;9;43;M;Zona I - Casavalle            NoBajo;80,75107398;117001;1020;117001
2270;1;1;2;1;1;2;1;1;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1;2;1;1;1;2;2;316;7A;6;1;8;2;4;4;4;1;3;2;2;2;2;4;4;1;1;4;4;1;4;1;1;4;4;4;4;4;4;4; ;7; ;2;6; ;4;1;25;40;M;Zona II - Cuenca Noreste      Bajo;271,8124372;111073;1020;111073
2271;1;1;1;2;9;2;2;2;2;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;5;1;2;1; ;103; ;1;6;5;3; ;2; ;2; ;1; ;1; ;3; ;3; ;3; ;3; ;4; ;1; ;2; ;4; ;3;5;6; ;3; ; ;1;13; ;25;B+;Zona II - Cuenca Noreste      Bajo;226,3666494;111097;1020;111097
2272;1;1;9;9;9;2;1;1;1;2; ;1;1;1;1;1;9;2;9;9;9; ; ; ; ; ; ;1;3;5;5;1;1;2;1;1;2;2;100;7A;6;5;7;4;4;4;4;4;4;2;2;3;3;4;4;4;4;5;5;4;4;4;4;4;4;5;5;4;4;15;99;4;99;5;6;4;4;1;99; ; ;Zona II - Cuenca Noreste      Bajo;259,9167408;111091;1020;111091
2273;2;1;2;1;1;2;2;2;1;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;2; ;1;1;1;1;4;1;2;2; ;192; ;6;9;12;3; ;3; ;3; ;2; ;3; ;4; ;3; ;4; ;4; ;4; ;4; ;3; ;2; ;12; ;11; ;3;5;6;4;1;9;48;M+;Zona I - Casavalle            NoBajo;87,62107236;117208;1020;117208
2274;1;1;1;1;1;1;1;1;1;2; ;2; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ;1;1;5;5;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;11;4;1;25;31;M-;Zona II - Cuenca Noreste      Bajo;297,0862267;111289;1020;111289
2275;1;1;1;1;1;1;1;2;1;2; ;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;1;1;2;2;1;1;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;11; ;4;1;9;44;M+;Zona II - Cuenca Noreste      Bajo;182,6855147;111289;1020;111289
2276;1;1;1;1;1;2;1;1;1;1;1;2; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;1;1;3;3;1;2;5;1;2;1; ;110; ;5;7;8;4; ;4; ;3; ;4; ;1; ;1; ;1; ;1; ;1; ;2; ;2; ;5; ;3; ;1;11;1;11;3;4;22;1;6;10;40;M;Zona II - Cuenca Noreste      Bajo;246,7900483;117140;1900;117140
