NFORM;nnper;nvj;netp;IDPERVE;BL;EB0P1;EB0P2;EB1P1;EB1P2;EB1P3;EB1P4;EB1P5;EB1P6;EB1P7;EB2P1;EB6P1;EB3P1;EB4P1;EB4P2;EB4P3;EB5BP1L;EB5BP4;EB5P5;INSE;INSE_RecF;EstratoGeografico;wcal0;codsegparadasube;codsegparadabaja
1019;1;4;1;1019010401;51;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;522;0;1;51;A-;Montevideo Medio;583,0560333;106202;121130
1019;1;4;2;1019010402;42;0;0; ; ; ; ; ; ; ; ; ; ;180;2;0; ; ; ;51;A-;Montevideo Medio;583,0560333; ; 
1021;1;1;1;1021010101;51;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;169;10;4;51;A-;Montevideo Medio;267,57973;112015;101204
1021;1;2;1;1021010201;51;3;0; ; ; ; ; ; ; ; ; ; ; ; ; ;103;2;4;51;A-;Montevideo Medio;267,57973;101105;123206
1021;1;3;1;1021010301;51;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ;185;1;4;51;A-;Montevideo Medio;267,57973;123212;112015
1021;1;4;1;1021010401;2; ; ; ; ; ; ; ; ; ;6;5; ; ; ; ; ; ; ;51;A-;Montevideo Medio;267,57973; ; 
1021;1;5;1;1021010501;2; ; ; ; ; ; ; ; ; ;6;5; ; ; ; ; ; ; ;51;A-;Montevideo Medio;267,57973; ; 
1022;1;1;1;1022010101;11;0;0;5;2; ; ;2; ;0; ; ; ; ; ; ; ; ; ;60;A+;Montevideo Medio;379,1642397; ; 
1022;1;2;1;1022010201;11;0;0;5;2; ; ;2; ;0; ; ; ; ; ; ; ; ; ;60;A+;Montevideo Medio;379,1642397; ; 
1023;1;1;1;1023010101;51;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;185;10;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;110,9888526;120003;124202
1023;1;2;1;1023010201;51;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;427;5;3;29;B+;Zona III - Cuenca Cerro Norte NoBajo;110,9888526;124003;115206
1023;1;2;2;1023010202;51;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ;99999;1;3;29;B+;Zona III - Cuenca Cerro Norte NoBajo;110,9888526;115206;107106
1023;1;3;1;1023010301;51;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;137;15;1;29;B+;Zona III - Cuenca Cerro Norte NoBajo;110,9888526;107208;120003
1023;2;1;1;1023020101;51;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ;185;15;10;29;B+;Zona III - Cuenca Cerro Norte NoBajo;110,9888526;120003;120039
1023;2;2;1;1023020201;51;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ;185;10;10;29;B+;Zona III - Cuenca Cerro Norte NoBajo;110,9888526;120039;120003
1024;1;1;1;1024010101;12;0;0;2;2; ; ;2; ;1; ; ; ; ; ; ; ; ; ;57;A-;Montevideo Medio;600,8422525; ; 
1024;1;2;1;1024010201;12;0;0;5;2; ; ;2; ;1; ; ; ; ; ; ; ; ; ;57;A-;Montevideo Medio;600,8422525; ; 
1024;2;1;1;1024020101;51;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;195;10;3;57;A-;Montevideo Medio;600,8422525;121142;120039
1024;2;1;2;1024020102;51;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;427;15;3;57;A-;Montevideo Medio;600,8422525;114006;114018
1024;2;2;1;1024020201;51;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;427;10;3;57;A-;Montevideo Medio;600,8422525;114018;114006
1024;2;2;2;1024020202;51;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;195;20;3;57;A-;Montevideo Medio;600,8422525;120039;121142
1024;2;3;1;1024020301;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;57;A-;Montevideo Medio;600,8422525; ; 
1024;2;4;1;1024020401;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;57;A-;Montevideo Medio;600,8422525; ; 
1024;3;1;1;1024030101;11;0;0;5;2; ; ;2; ;0; ; ; ; ; ; ; ; ; ;57;A-;Montevideo Medio;600,8422525; ; 
1024;4;1;1;1024040101;51;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ;195;15;3;57;A-;Montevideo Medio;600,8422525;121142;120039
1024;4;1;2;1024040102;51;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ;183;5;3;57;A-;Montevideo Medio;600,8422525;120039;123003
1024;4;2;1;1024040201;51;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;181;10;3;57;A-;Montevideo Medio;600,8422525;123003;121039
1024;4;2;2;1024040202;51;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;195;20;3;57;A-;Montevideo Medio;600,8422525;121039;121142
1025;1;1;1;1025010101;51;4;0; ; ; ; ; ; ; ; ; ; ; ; ; ;124;10;1;23;B+;Montevideo Bajo;587,0601537;113152;106201
1025;1;1;2;1025010102;2; ; ; ; ; ; ; ; ; ;9;3; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1025;1;2;1;1025010201;2; ; ; ; ; ; ; ; ; ;8;3; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1025;1;2;2;1025010202;51;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ;124;20;1;23;B+;Montevideo Bajo;587,0601537;106103;113152
1025;2;1;1;1025020101;2; ; ; ; ; ; ; ; ; ;6;7; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1025;2;2;1;1025020201;2; ; ; ; ; ; ; ; ; ;6;7; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1025;2;3;1;1025020301;51;3;0; ; ; ; ; ; ; ; ; ; ; ; ; ;306;20;1;23;B+;Montevideo Bajo;587,0601537;113012;120040
1025;2;3;2;1025020302;2; ; ; ; ; ; ; ; ; ;7;2; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1025;2;4;1;1025020401;2; ; ; ; ; ; ; ; ; ;7;3; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1025;2;4;2;1025020402;51;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ;306;30;1;23;B+;Montevideo Bajo;587,0601537;120040;113014
1025;2;5;1;1025020501;2; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1025;3;1;1;1025030101;2; ; ; ; ; ; ; ; ; ;6;3; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
