NFORM;nnper;IDPER;SEXO;EDAD;PARENTESCO;E3;E4;E4A;E5;E6;E7;E7OB;E8;E9;E10;E11;E12;E14;E15;E16;E17;E19;E20;E200B;Form_Op_Hab;codsegtrabprinc;codsegpresentrab;codsegcomenzodia;INSE;INSE_RecF;EstratoGeografico;wcal0
1504;1;150401;1;28;1;2;3; ;6;1;1; ;1; ; ;40;5;2;1; ;2;2;11;FUERA DEL PAIS;0; ; ; ;33;M-;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;391,3629644
1504;2;150402;2;23;2;2;3; ;3;2;1; ;1; ; ;40;5;2;3; ;1;1; ; ;0; ; ; ;33;M-;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;391,3629644
1504;3;150403;2;18;12;2;3; ;1;2;2; ;2;1;3;3; ; ;3; ;1;2;5; ;1; ; ; ;33;M-;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;391,3629644
1504;4;150404;2;2;3;3; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;33;M-;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;391,3629644
1505;1;150501;1;34;1;2;3; ;4;2;3; ;1; ; ;40;2; ;1;5;1;1; ; ;0;122006; ; ;41;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;398,8596996
1505;2;150502;2;37;2;2;4;3;2;2;3; ;2;1;3; ; ; ;3;1;1;1; ; ;0; ; ; ;41;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;398,8596996
1505;3;150503;1;14;3;1;4;3;2;2;3; ;2;1;2; ; ; ; ; ;1;1; ; ;0; ; ; ;41;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;398,8596996
1505;4;150504;2;4;3;1;1; ;3;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;41;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;398,8596996
1505;5;150505;2;70;8;2;2; ;6;1;3; ;2;1;4; ; ; ;3;1;1;1; ; ;1; ; ; ;41;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;398,8596996
1506;1;150601;2;24;12;1;4;1;1;2;3; ;1; ; ;25;1; ;3; ;1;1; ; ;1; ; ; ;43;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;349,1370435
1506;2;150602;1;25;2;2;3; ;4;2;2; ;1; ; ;25;1; ;3; ;1;1; ; ;0; ; ; ;43;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;349,1370435
1506;3;150603;2;24;12;1;4;1;2;2;1; ;1; ; ;30;2; ;3; ;1;1; ; ;0;337030; ; ;43;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;349,1370435
1507;1;150701;2;52;1;2;2; ;6;1;3; ;1; ; ;40;2; ;3; ;1;1; ; ;1;115211; ; ;46;M+;Pando;144,7292936
1507;2;150702;1;57;2;2;2; ;6;1;1; ;2;1;4; ; ; ;1; ;3;2;11;VISITANDO AMIGOS;0; ; ; ;46;M+;Pando;144,7292936
1507;3;150703;2;19;3;2;3; ;6;1;1; ;2;1;1; ; ; ;3; ;1;1; ; ;0; ; ; ;46;M+;Pando;144,7292936
1508;1;150801;2;81;1;2;2; ;6;1;1; ;2;1;4; ; ; ;3; ;1;2;1; ;1; ; ; ;40;M;Pando;108,7610714
1508;2;150802;1;81;2;2;3; ;1;2;1; ;2;1;4; ; ; ;3; ;1;2;1; ;0; ; ; ;40;M;Pando;108,7610714
1509;1;150901;1;32;1;2;2; ;6;1;2; ;1; ; ;40;5;2;1;1;1;2;8; ;0; ; ; ;33;M-;Pando;160,2823008
1509;2;150902;2;30;2;2;2; ;6;1;2; ;2;1;3; ; ; ;3;1;1;1; ; ;1; ; ; ;33;M-;Pando;160,2823008
1509;3;150903;1;12;3;1;2; ;4;2;2; ; ; ; ; ; ; ; ; ;1;2;2; ;0; ; ; ;33;M-;Pando;160,2823008
1510;1;151001;2;48;1;2;7; ;6;1;3; ;1; ; ;48;4; ;3;1;2;1; ; ;1;316119; ;316012;49;M+;Pando;161,9256335
1510;2;151002;1;54;2;2;2; ;6;1;3; ;2;1;3; ; ; ;1;2;1;2;10; ;0; ; ; ;49;M+;Pando;161,9256335
1511;1;151101;1;61;1;2;3; ;6;1;3; ;1; ; ;48;1; ;1;5;1;2;8; ;0; ; ; ;55;A-;La Floresta, Atlántida y Otras;76,10430548
1511;2;151102;2;44;2;2;5; ;4;1;3; ;1; ; ;40;2; ;1;5;1;1; ; ;1;317101; ; ;55;A-;La Floresta, Atlántida y Otras;76,10430548
1512;1;151201;1;62;1;2;3; ;2;2;3; ;2;1;4; ; ; ;1;5;1;1; ; ;0; ; ; ;29;B+;Toledo, Suarez y Otras;93,85948643
1512;2;151202;2;45;2;2;2; ;6;1;2; ;2;2; ;2;2; ;3;1;1;2;10; ;1;316214; ; ;29;B+;Toledo, Suarez y Otras;93,85948643
1513;1;151301;2;27;1;2;2; ;6;1;2; ;2;1;1; ; ; ;3; ;1;1; ; ;1; ; ; ;15;B-;Toledo, Suarez y Otras;151,1954237
1513;2;151302;1;8;4;1;2; ;2;2;2; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;15;B-;Toledo, Suarez y Otras;151,1954237
1513;3;151303;1;7;4;1;2; ;1;2;2; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;15;B-;Toledo, Suarez y Otras;151,1954237
1513;4;151304;1;7;4;1;2; ;1;2;2; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;15;B-;Toledo, Suarez y Otras;151,1954237
1513;5;151305;1;6;4;1;2; ;1;2;2; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;15;B-;Toledo, Suarez y Otras;151,1954237
1514;1;151401;1;79;1;2;2; ;3;2;2; ;2;1;4; ; ; ;3; ;1;2;10; ;1; ; ; ;41;M;Toledo, Suarez y Otras;87,50967886
1515;1;151501;2;45;1;2;3; ;6;2;3; ;1; ; ;45;2; ;3; ;1;1; ; ;1;327002; ; ;48;M+;Pando;173,4557463
