NFORM;nnper;IDPER;SEXO;EDAD;PARENTESCO;E3;E4;E4A;E5;E6;E7;E7OB;E8;E9;E10;E11;E12;E14;E15;E16;E17;E19;E20;E200B;Form_Op_Hab;codsegtrabprinc;codsegpresentrab;codsegcomenzodia;INSE;INSE_RecF;EstratoGeografico;wcal0
1441;1;144101;2;60;99;1;2; ;6;1;1; ;2;2; ;40;2; ;3; ;1;1; ; ;1;123107; ; ;43;M;Zona II - Cuenca Noreste      NoBajo;98,06937027
1441;2;144102;1;60;99;2;3; ;1;2;1; ;2;2; ;40;2; ;3; ;2;1; ; ;0;118107; ;118107;43;M;Zona II - Cuenca Noreste      NoBajo;98,06937027
1442;1;144201;1;79;1;2;2; ;4;2;3; ;2;1;4; ; ; ;3; ;1;2;10; ;0; ; ; ;41;M;Zona I - Casavalle            Bajo;199,679516
1442;2;144202;2;69;2;2;2; ;6;1;3; ;1; ; ;2;2; ;3; ;1;1; ; ;1;110225; ; ;41;M;Zona I - Casavalle            Bajo;199,679516
1443;1;144301;2;35;2;2;6; ;2;2;1; ;1; ; ;30;1; ;3; ;3;1; ; ;1; ; ;123102;39;M;Zona I - Casavalle            Bajo;269,7472621
1443;2;144302;1;30;1;1;5; ;2;2;1; ;1; ; ;56;2; ;3; ;2;2;11;TRABAJA REGIMEN INTERNADO;0;121106; ;121106;39;M;Zona I - Casavalle            Bajo;269,7472621
1443;3;144303;1;4;3;9;9; ;9;9;9; ; ; ; ; ; ; ; ; ;9;9;99; ;0; ; ; ;39;M;Zona I - Casavalle            Bajo;269,7472621
1444;1;144401;2;67;1;2;2; ;3;2;2; ;1; ; ;15;3;2;3; ;1;1; ; ;1; ; ; ;28;B+;Zona I - Casavalle            Bajo;204,7645608
1445;1;144501;2;52;2;2;2; ;6;1;1; ;2;1;4; ; ; ;3; ;1;2;1; ;0; ; ; ;32;M-;Zona I - Casavalle            Bajo;236,5956595
1445;2;144502;1;39;1;2;2; ;6;1;2; ;1; ; ;40;2; ;1; ;1;1; ; ;1;117001; ; ;32;M-;Zona I - Casavalle            Bajo;236,5956595
1445;3;144503;1;17;5;2;3; ;1;2;2; ;1; ; ;45;2; ; ; ;1;1; ; ;0;108105; ; ;32;M-;Zona I - Casavalle            Bajo;236,5956595
1446;1;144601;2;28;2;2;2; ;6;1;3; ;2;1;3; ; ; ;3;3;1;1; ; ;1; ; ; ;28;B+;Zona I - Casavalle            Bajo;247,5810959
1446;2;144602;1;38;1;2;2; ;6;1;3; ;1; ; ;40;2; ;1;3;1;1; ; ;0;118226; ; ;28;B+;Zona I - Casavalle            Bajo;247,5810959
1446;3;144603;2;2;3;1;1; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;28;B+;Zona I - Casavalle            Bajo;247,5810959
1447;1;144701;2;78;12;2;2; ;3;2;3; ;2;1;4; ; ; ;3; ;1;2;10; ;0; ; ; ;37;M;Zona I - Casavalle            Bajo;201,0663158
1447;2;144702;1;37;1;2;4;2;2;2;1; ;1; ; ;40;2; ;1; ;1;1; ; ;0;117633; ; ;37;M;Zona I - Casavalle            Bajo;201,0663158
1448;1;144801;2;62;1;2;3; ;6;1;3; ;1; ; ;50;2; ;3; ;1;1; ; ;1;111028; ; ;47;M+;Zona I - Casavalle            NoBajo;181,4367409
1448;2;144802;2;36;4;1;6; ;3;2;3; ;1; ; ;40;2; ;3; ;1;1; ; ;0;101205; ; ;47;M+;Zona I - Casavalle            NoBajo;181,4367409
1448;3;144803;1;38;4;2;3; ;6;1;3; ;2;1;1; ; ; ;3; ;1;1; ; ;0; ; ; ;47;M+;Zona I - Casavalle            NoBajo;181,4367409
1449;1;144901;2;28;2;1;5; ;3;2;3; ;1; ; ;35;2; ;3; ;1;2;10; ;0;115206; ; ;36;M-;Zona I - Casavalle            NoBajo;86,79007659
1449;2;144902;1;32;1;2;3; ;5;2;3; ;1; ; ;60;3;1;1; ;1;2;10; ;1; ;108009; ;36;M-;Zona I - Casavalle            NoBajo;86,79007659
1449;3;144903;2;4;3;1;1; ;3;2;3; ; ; ; ; ; ; ; ; ;3;1; ; ;0; ; ;120040;36;M-;Zona I - Casavalle            NoBajo;86,79007659
1450;1;145001;2;52;1;2;3; ;3;2;3; ;1; ; ;40;1; ;3;4;1;2;8; ;0; ; ; ;44;M+;Zona I - Casavalle            NoBajo;70,48422208
1450;2;145002;1;65;2;2;3; ;1;2;3; ;2;1;3; ; ; ;1;5;1;2;2; ;1; ; ; ;44;M+;Zona I - Casavalle            NoBajo;70,48422208
1451;1;145101;2;74;1;2;2; ;6;1;2; ;2;1;4; ; ; ;3; ;1;2;10; ;1; ; ; ;34;M-;Canelones Capital, Santa Lucía y Otras;95,67847845
1452;1;145201;2;33;1;2;2; ;6;1;2; ;1; ; ;32;2; ;3;5;2;1; ; ;1;302110; ;302110;26;B+;Canelones Capital, Santa Lucía y Otras;102,3502783
1452;2;145202;1;29;2;2;2; ;6;1;2; ;1; ; ;30;2; ;3;5;1;1; ; ;0;302001; ; ;26;B+;Canelones Capital, Santa Lucía y Otras;102,3502783
1453;1;145301;2;83;1;2;3; ;3;1;3; ;2;1;4; ; ; ;3; ;1;2;10; ;1; ; ; ;44;M+;Canelones Capital, Santa Lucía y Otras;86,98043496
1454;1;145401;2;41;1;2;3; ;5;1;3; ;2;2; ;20;2; ;1;3;5;1; ; ;1;302110; ;115209;53;A-;Canelones Capital, Santa Lucía y Otras;105,1014302
1455;1;145501;1;31;1;2;3; ;4;1;3; ;1; ; ;40;2; ;1;4;1;1; ; ;0;301201; ; ;44;M+;Canelones Capital, Santa Lucía y Otras;126,0423557
1455;2;145502;2;23;2;2;3; ;4;1;3; ;1; ; ;40;2; ;1;4;1;1; ; ;1;302014; ; ;44;M+;Canelones Capital, Santa Lucía y Otras;126,0423557
1455;3;145503;1;1;3;1;1; ;9;9;3; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;44;M+;Canelones Capital, Santa Lucía y Otras;126,0423557
1456;1;145601;1;39;1;2;2; ;6;1;3;COMECA;1; ; ;72;4; ;1;5;1;1; ; ;1;301004; ; ;48;M+;Canelones Capital, Santa Lucía y Otras;104,9686543
1457;1;145701;2;75;1;2;2; ;3;1;3; ;2;1;4; ; ; ;3;1;1;1; ; ;1; ; ; ;31;M-;Canelones Capital, Santa Lucía y Otras;112,0212825
1457;2;145702;2;48;4;2;5; ;3;1;2;Fondo Nal de Recursos;2;1;9; ; ; ;9;9;5;2;2; ;0; ; ;106203;31;M-;Canelones Capital, Santa Lucía y Otras;112,0212825
1457;3;145703;1;9;11;1;2; ;3;1;2; ; ; ; ; ; ; ; ; ;1;2;10; ;0; ; ; ;31;M-;Canelones Capital, Santa Lucía y Otras;112,0212825
1457;4;145704;2;17;11;1;3; ;3;1;2; ;2;1;2; ; ; ; ; ;5;1; ; ;0; ; ;106203;31;M-;Canelones Capital, Santa Lucía y Otras;112,0212825
1458;1;145801;2;31;1;2;6; ;2;2;3; ;1; ; ;25;1; ;1; ;1;2;8; ;1; ; ; ;52;A-;Canelones Capital, Santa Lucía y Otras;95,54675475
1460;1;146001;2;60;1;2;4;3;4;2;4; ;2;1;4; ; ; ;1; ;1;2;10; ;1; ; ; ;49;M+;Canelones Capital, Santa Lucía y Otras;86,98043496
1461;1;146101;1;34;1;2;3; ;4;1;2; ;1; ; ;40;1; ;1; ;1;1; ; ;1; ; ; ;35;M-;Canelones Capital, Santa Lucía y Otras;126,201788
1461;2;146102;2;25;2;2;5; ;4;1;2; ;1; ; ;36;2; ;3; ;1;1; ; ;0;1602010; ; ;35;M-;Canelones Capital, Santa Lucía y Otras;126,201788
1461;3;146103;2;4;3;1;1; ;3;1;2; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;35;M-;Canelones Capital, Santa Lucía y Otras;126,201788
1462;1;146201;2;99;99;2;4;3;3;1;3;COMECA;1; ; ;50;2; ;3;5;1;1; ; ;0;301023; ; ;32;M-;Canelones Capital, Santa Lucía y Otras;141,2863828
1462;2;146202;2;99;99;2;4;2;3;1;3; ;1; ; ;84;2; ;1;5;1;2;10; ;1;301023; ; ;32;M-;Canelones Capital, Santa Lucía y Otras;141,2863828
1462;3;146203;1;99;3;1;2; ;3;2;1; ;2;1;2; ; ; ;3;9;1;1; ; ;0; ; ; ;32;M-;Canelones Capital, Santa Lucía y Otras;141,2863828
1462;4;146204;1;99;3;1;4;4;1;2;1; ;2;1;2; ; ; ;3;9;1;1; ; ;0; ; ; ;32;M-;Canelones Capital, Santa Lucía y Otras;141,2863828
1463;1;146301;2;27;1;2;3; ;6;1;3; ;2;1;3; ; ; ;1;5;1;1; ; ;0; ; ; ;41;M;Canelones Capital, Santa Lucía y Otras;114,7288982
1463;2;146302;1;34;2;2;3; ;3;2;3; ;1; ; ;45;2; ;3;5;1;1; ; ;1;304006; ; ;41;M;Canelones Capital, Santa Lucía y Otras;114,7288982
1463;3;146303;2;1;3;1;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;41;M;Canelones Capital, Santa Lucía y Otras;114,7288982
1464;1;146401;1;22;99;2;2; ;6;1;2; ;1; ; ;45;2; ;3;5;1;1; ; ;1;302008; ; ;23;B+;Canelones Capital, Santa Lucía y Otras;114,7288982
1464;2;146402;2;0;3;3; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;23;B+;Canelones Capital, Santa Lucía y Otras;114,7288982
1464;3;146403;2;23;99;2;2; ;4;2;2; ;1; ; ;52;2; ;3;5;1;1; ; ;0;302008; ; ;23;B+;Canelones Capital, Santa Lucía y Otras;114,7288982
1466;1;146601;2;40;1;2;3; ;5;2;3; ;1; ; ;30;2; ;1;5;1;1; ; ;1;302011; ; ;38;M;Canelones Capital, Santa Lucía y Otras;117,6639502
1466;2;146602;1;10;4;1;2; ;3;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;38;M;Canelones Capital, Santa Lucía y Otras;117,6639502
1467;1;146701;2;77;1;2;2; ;5;2;3; ;2;1;4; ; ; ;3; ;1;2;10; ;1; ; ; ;45;M+;Canelones Capital, Santa Lucía y Otras;86,98043496
1468;1;146801;2;62;1;2;7; ;2;1;3; ;1; ; ;14;4; ;1;5;1;1; ; ;1;121027; ; ;62;A+;Montevideo Medio;571,2841507
1468;2;146802;1;29;4;2;6; ;7;1;3; ;1; ; ;44;5;2;1;5;2;1; ; ;0; ; ;113029;62;A+;Montevideo Medio;571,2841507
1469;1;146901;1;57;1;2;2; ;5;2;2; ;1; ; ;25;5;2;3; ;1;1; ; ;1; ; ; ;24;B+;Zona III - Cuenca Cerro Norte Bajo;116,7501666
1470;1;147001;2;36;1;2;3; ;2;2;2; ;1; ; ;48;2; ;3; ;1;1; ; ;1;120023; ; ;12;B-;Zona III - Cuenca Cerro Norte Bajo;146,5129802
1470;2;147002;1;14;4;1;3; ;9;2;2; ;2;1;2; ; ; ; ; ;1;1; ; ;0; ; ; ;12;B-;Zona III - Cuenca Cerro Norte Bajo;146,5129802
1470;3;147003;1;9;4;1;2; ;2;2;2; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;12;B-;Zona III - Cuenca Cerro Norte Bajo;146,5129802
1471;1;147101;2;69;1;2;2; ;3;2;2; ;2;1;4; ; ; ;3; ;1;1; ; ;0; ; ; ;27;B+;Montevideo Bajo;380,3950406
1471;2;147102;1;39;4;2;2; ;4;2;2; ;2;1;4; ; ; ;3; ;1;2;1; ;1; ; ; ;27;B+;Montevideo Bajo;380,3950406
1472;1;147201;2;53;1;2;2; ;6;2;3; ;2;1;7; ; ; ;1;2;1;1; ; ;0; ; ; ;46;M+;Zona III - Cuenca Cerro Norte Bajo;214,054628
1472;2;147202;1;18;4;2;3; ;6;1;3; ;2;1;7; ; ; ;1;2;3;2;11;ESTÁ EN TREINTA Y TRES;1; ; ; ;46;M+;Zona III - Cuenca Cerro Norte Bajo;214,054628
1472;3;147203;2;12;4;1;2; ;4;2;3; ; ; ; ; ; ; ; ; ;1;2;3; ;0; ; ; ;46;M+;Zona III - Cuenca Cerro Norte Bajo;214,054628
1473;1;147301;1;29;1;2;2; ;6;1;2; ;2;1;1; ; ; ;3; ;1;1; ; ;1; ; ; ;9;B-;Montevideo Bajo;524,382036
1473;2;147302;2;30;2;2;3; ;2;2;3; ;1; ; ;20;2; ;3; ;1;1; ; ;0;123212; ; ;9;B-;Montevideo Bajo;524,382036
1473;3;147303;2;14;5;1;3; ;1;2;3; ;2;1;2; ; ; ; ; ;1;1; ; ;0; ; ; ;9;B-;Montevideo Bajo;524,382036
1473;4;147304;1;12;3;1;2; ;4;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;9;B-;Montevideo Bajo;524,382036
1474;1;147401;1;53;1;2;2; ;6;1;3; ;1; ; ;25;3;2;1;5;1;1; ; ;1; ; ; ;41;M;Montevideo Bajo;417,3305863
1474;2;147402;1;18;4;1;3; ;2;2;3; ;2;1;2; ; ; ;3;2;1;1; ; ;0; ; ; ;41;M;Montevideo Bajo;417,3305863
1475;1;147501;1;47;1;2;2; ; ;1;3; ;1; ; ;60;5;2;1;5;1;1; ; ;0; ; ; ;45;M+;Montevideo Medio Bajo;684,7969203
1475;2;147502;2;43;2;2;4;2;3;1;3; ;2;1;3; ; ; ;2;2;1;2;7; ;1; ; ; ;45;M+;Montevideo Medio Bajo;684,7969203
1475;3;147503;1;16;3;1;3; ;2;2;3; ;2;1;2; ; ; ; ; ;1;1; ; ;0; ; ; ;45;M+;Montevideo Medio Bajo;684,7969203
1476;1;147601;2;40;1;2;3; ;3;2;3; ;1; ; ;30;1; ;3;2;1;2;10; ;0; ; ; ;36;M-;Montevideo Medio Bajo;715,6876286
1476;2;147602;1;18;4;2;3; ;2;2;3; ;1; ; ;46;2; ;1;5;1;1; ; ;1;116028; ; ;36;M-;Montevideo Medio Bajo;715,6876286
1476;3;147603;1;2;4;3; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;36;M-;Montevideo Medio Bajo;715,6876286
1478;1;147801;2;64;1;2;3; ;3;2;2; ;2;1;3; ; ; ;3; ;1;1; ; ;0; ; ; ;36;M-;Montevideo Medio Bajo;544,3094712
1478;2;147802;2;31;4;2;6; ;1;2;2; ;1; ; ;36;2; ;3; ;1;1; ; ;1;102202; ; ;36;M-;Montevideo Medio Bajo;544,3094712
1478;3;147803;2;9;11;1;2; ;1;2;2; ; ; ; ; ; ; ; ; ;1;2;2; ;0; ; ; ;36;M-;Montevideo Medio Bajo;544,3094712
1479;1;147901;2;53;1;2;3; ;2;2;2; ;1; ; ;12;5;2;3; ;1;1; ; ;1; ; ; ;17;B-;Montevideo Medio;557,0338327
1479;2;147902;1;60;2;2;2; ;6;1;3; ;2;1;7; ; ; ;1; ;1;2;10; ;0; ; ; ;17;B-;Montevideo Medio;557,0338327
1479;3;147903;2;22;3;2;3; ;6;1;2; ;2;1;6; ; ; ;3; ;1;1; ; ;0; ; ; ;17;B-;Montevideo Medio;557,0338327
1480;1;148001;2;35;1;2;3; ;3;2;3; ;1; ; ;36;2; ;1;4;1;1; ; ;1;121037; ; ;53;A-;Montevideo Medio Alto;573,3202109
1480;2;148002;1;39;2;2;3; ;2;2;3; ;1; ; ;44;4; ;1;5;1;1; ; ;0;108008; ; ;53;A-;Montevideo Medio Alto;573,3202109
1480;3;148003;1;2;3;1;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;53;A-;Montevideo Medio Alto;573,3202109
1481;1;148101;2;82;1;2;2; ;6;1;3; ;2;1;4; ; ; ;3; ;1;1; ; ;0; ; ; ;43;M;Montevideo Medio Alto;424,3983844
1481;2;148102;1;87;2;2;2; ;6;1;3; ;2;1;4; ; ; ;1; ;1;1; ; ;1; ; ; ;43;M;Montevideo Medio Alto;424,3983844
1482;1;148201;2;31;1;2;3; ;5;2;2; ;1; ; ;32;2; ;3; ;1;1; ; ;1;124108; ; ;40;M;Montevideo Medio Alto;559,3710821
1482;2;148202;2;27;13;1;3; ;5;2;3; ;1; ; ;30;2; ;1; ;1;1; ; ;0;105102; ; ;40;M;Montevideo Medio Alto;559,3710821
1483;1;148301;2;48;1;2;6; ;2;2;3; ;1; ; ;48;2; ;3; ;1;1; ; ;1;103201; ; ;49;M+;Montevideo Medio Alto;600,4088058
1483;2;148302;2;45;13;2;2; ;6;1;3; ;1; ; ;40;2; ;3; ;1;1; ; ;0;103201; ; ;49;M+;Montevideo Medio Alto;600,4088058
1483;3;148303;2;88;12;2;2; ;6;1;3; ;2;1;4; ; ; ;3; ;1;2;10; ;0; ; ; ;49;M+;Montevideo Medio Alto;600,4088058
1483;4;148304;1;19;4;1;3; ;5;2;3; ;1; ; ;30;2; ;3; ;1;1; ; ;0;108008; ; ;49;M+;Montevideo Medio Alto;600,4088058
1483;5;148305;1;14;4;1;3; ;1;2;3; ;2;1;2; ; ; ; ; ;1;1; ; ;0; ; ; ;49;M+;Montevideo Medio Alto;600,4088058
1484;1;148401;2;41;1;2;6; ;4;1;3; ;1; ; ;40;2; ;3; ;1;1; ; ;1;114024; ; ;53;A-;Montevideo Medio Alto;521,5283571
1485;1;148501;2;50;1;1;5; ;4;1;3; ;1; ; ;40;4; ;3;1;1;1; ; ;1;122234; ; ;44;M+;Montevideo Medio;436,8567577
1485;2;148502;1;53;2;2;2; ;4;2;2; ;2;1;7; ; ; ;1;1;1;1; ; ;0; ; ; ;44;M+;Montevideo Medio;436,8567577
1485;3;148503;2;24;4;2;3; ;6;1;3; ;1; ; ;44;2; ;3;1;1;1; ; ;0;112104; ; ;44;M+;Montevideo Medio;436,8567577
1487;1;148701;1;45;1;2;5; ;4;1;1; ;1; ; ;30;2; ;1;5;1;1; ; ;1;117001; ; ;52;A-;Montevideo Medio;455,9862776
1487;2;148702;2;32;2;2;6; ;4;1;1; ;1; ; ;40;2; ;1;4;1;1; ; ;0;102004; ; ;52;A-;Montevideo Medio;455,9862776
1487;3;148703;1;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;52;A-;Montevideo Medio;455,9862776
1488;1;148801;1;65;1;2;6; ;3;2;3; ;1; ; ;20;2; ;3; ;1;1; ; ;1;109020; ; ;44;M+;Montevideo Medio Bajo;452,1588299
1489;1;148901;1;58;1;2;4;3;3;1;3; ;1; ; ;72;3;2;1;5;1;1; ; ;0; ; ; ;41;M;Montevideo Medio;611,1206276
1489;2;148902;2;55;2;2;3; ;3;1;1; ;2;1;3; ; ; ;3;2;1;1; ; ;1; ; ; ;41;M;Montevideo Medio;611,1206276
1489;3;148903;1;24;3;2;4;3;3;1;2; ;1; ; ;36;2; ;1;5;1;1; ; ;0;102102; ; ;41;M;Montevideo Medio;611,1206276
1490;1;149001;2;39;1;2;4;4;2;1;3; ;1; ; ; ;1; ;3; ;1;2;8; ;1; ; ; ; ; ;Toledo, Suarez y Otras;90,03818318
1490;2;149002;1;42;2;2;2; ;6;1;3; ;1; ; ;44;5;2;1; ;1;1; ; ;0; ; ; ; ; ;Toledo, Suarez y Otras;90,03818318
1490;3;149003;1;21;3;2;3; ;3;2;3; ;1; ; ;44;2; ;1; ;1;1; ; ;0;316207; ; ; ; ;Toledo, Suarez y Otras;90,03818318
1490;4;149004;2;12;3;1;2; ;5;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ; ; ;Toledo, Suarez y Otras;90,03818318
1491;1;149101;1;65;1;2;2; ;3;2;2; ;2;1;4; ; ; ;3; ;1;1; ; ;1; ; ; ;28;B+;Montevideo Medio;337,5423295
1491;2;149102;2;66;2;2;2; ;5;2;3; ;2;1;4; ; ; ;3; ;1;2;10; ;0; ; ; ;28;B+;Montevideo Medio;337,5423295
1493;1;149301;2;80;1;2;2; ;2;2;1; ;2;1;4; ; ; ;3; ;1;1; ; ;1; ; ; ;39;M;Montevideo Medio;446,1336709
1494;1;149401;2;36;1;2;4;3;2;1;3; ;1; ; ;8;5;2;3;5;1;1; ; ;1; ; ; ;40;M;Toledo, Suarez y Otras;100,9277329
1494;2;149402;1;38;2;2;4;2;6;1;3; ;2;1;1; ; ; ;1;5;1;1; ; ;0; ; ; ;40;M;Toledo, Suarez y Otras;100,9277329
1494;3;149403;2;15;3;1;3; ;4;2;3; ;2;1;2; ; ; ; ; ;1;1; ; ;0; ; ; ;40;M;Toledo, Suarez y Otras;100,9277329
1494;4;149404;2;8;3;1;2; ;3;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;40;M;Toledo, Suarez y Otras;100,9277329
1494;5;149405;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;40;M;Toledo, Suarez y Otras;100,9277329
1501;1;150101;1;50;1;2;2; ;2;2;3; ;1; ; ;50;2; ;1;5;1;1; ; ;0;199006; ; ;39;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;364,8863704
1501;2;150102;2;52;2;2;3; ;1;2;3; ;2;1;3; ; ; ;3;1;1;1; ; ;1; ; ; ;39;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;364,8863704
1501;3;150103;2;11;3;1;2; ;4;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;39;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;364,8863704
1502;1;150201;1;51;1;2;2; ;6;1;3; ;1; ; ;40;2; ;1;5;1;1; ; ;0;337126; ; ;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;296,3326336
1502;2;150202;2;69;2;2;2; ;6;1;3; ;2;1;4; ; ; ;3;1;3;1; ; ;1; ; ;337426;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;296,3326336
